ID,LAT,LNG
0,292641.0319,9237987.252
1,292638.862,9237981.255
2,292636.6253,9237974.961
3,292634.3473,9237968.408
4,292632.0536,9237961.632
5,292629.7659,9237954.678
6,292627.4916,9237947.612
7,292625.2343,9237940.508
8,292622.9976,9237933.437
9,292620.7852,9237926.473
10,292618.6008,9237919.689
11,292616.4479,9237913.157
12,292614.3302,9237906.95
13,292612.2511,9237901.119
14,292610.212,9237895.621
15,292608.2142,9237890.393
16,292606.2589,9237885.37
17,292604.3473,9237880.487
18,292602.4807,9237875.682
19,292600.6602,9237870.888
20,292598.8871,9237866.042
21,292597.1601,9237861.089
22,292595.4684,9237856.012
23,292593.7986,9237850.805
24,292592.1372,9237845.459
25,292590.471,9237839.967
26,292588.7865,9237834.322
27,292587.0705,9237828.517
28,292585.3096,9237822.545
29,292583.4988,9237816.417
30,292581.6674,9237810.222
31,292579.853,9237804.069
32,292578.0933,9237798.065
33,292576.4258,9237792.318
34,292574.8884,9237786.936
35,292573.5185,9237782.028
36,292572.3539,9237777.701
37,292571.417,9237774.019
38,292570.3707,9237769.602
39,292569.5282,9237765.486
40,292569.0486,9237763.049
41,292568.2832,9237763.249
42,292567.0873,9237763.562
43,292563.0248,9237764.578
44,292558.6277,9237765.581
45,292555.4785,9237766.27
46,292552.0801,9237766.985
47,292548.3815,9237767.738
48,292544.332,9237768.541
49,292539.8807,9237769.405
50,292534.9963,9237770.338
51,292529.7253,9237771.332
52,292524.1337,9237772.376
53,292518.2873,9237773.458
54,292512.2521,9237774.566
55,292506.094,9237775.69
56,292499.8791,9237776.818
57,292493.6731,9237777.938
58,292487.5316,9237779.042
59,292481.4675,9237780.126
60,292475.4835,9237781.192
61,292469.5819,9237782.24
62,292463.7654,9237783.269
63,292458.0365,9237784.281
64,292452.3976,9237785.274
65,292446.8513,9237786.251
66,292441.4022,9237787.21
67,292436.0631,9237788.153
68,292430.8489,9237789.081
69,292425.7744,9237789.994
70,292420.8546,9237790.894
71,292416.1044,9237791.782
72,292411.5386,9237792.659
73,292407.1721,9237793.526
74,292403.0074,9237794.386
75,292398.9976,9237795.247
